ID,frequency,recency,T
5,1,14.26155093,1088.432361
19,3,721.9278009,1163.115127
23,4,196.9930671,424.1373727
26,0,0,841.3370602
27,1,792.9986574,1089.627766
30,5,292.1943056,647.5692361
32,1,2.868090278,925.2597801
33,1,544.1257523,654.4644329
39,13,1179.016586,1181.385683
45,3,525.9976389,886.1706134
52,3,605.0456944,646.2788079
60,13,797.5315509,1032.161215
63,2,188.7741551,1187.502419
67,0,0,1139.111551
72,4,997.2009954,1091.239826
75,2,733.673912,873.1298264
77,1,201.8132639,971.2400347
84,0,0,993.1095486
90,3,736.3720023,1134.3586
102,0,0,672.3119097
108,2,145.8332639,1190.017245
115,8,1085.868299,1102.141979
118,2,65.50012731,856.6518403
126,1,432.8638426,1100.652303
138,7,725.1439468,1104.525602
141,3,673.7800347,711.0809722
145,0,0,992.3979861
147,1,80.01668981,1133.174005
150,0,0,189.3724884
152,4,58.33465278,893.6922222
153,0,0,1034.104873
155,0,0,689.1909491
160,6,1122.010579,1135.187303
161,2,435.6672106,1154.881597
167,0,0,579.6394792
168,1,309.4426505,324.0043056
172,0,0,1112.03728
173,11,834.0652778,1167.067396
175,0,0,1189.443762
184,1,415.9273958,696.5447454
187,1,487.0104167,912.0565509
188,0,0,880.2690046
190,0,0,1061.986354
193,3,391.8119097,1143.42412
195,0,0,1077.31022
196,0,0,486.4461574
200,0,0,704.4328241
210,2,1122.370648,1138.038912
211,0,0,1147.39434
214,1,126.0739005,1136.294826
218,3,352.9556944,1095.068553
219,4,969.4127546,1012.597569
223,0,0,1100.722975
234,1,4.89125,866.377581
239,10,823.4388542,1177.506644
247,0,0,273.5667014
249,3,1043.872963,1076.183183
259,86,1149.02162,1162.640891
260,6,1006.617176,1193.098426
262,16,1082.097419,1170.508935
265,1,112.5913773,857.6491319
266,0,0,1164.165116
269,0,0,1133.533947
280,1,6.906967593,620.3490741
283,0,0,1044.654155
284,1,54.5328588,732.556794
291,0,0,496.3748843
292,1,257.0048843,865.6104051
299,19,1071.956516,1104.16419
307,1,57.02887731,1194.064711
308,0,0,680.1855671
314,7,750.9598032,1045.239826
319,0,0,1140.060417
330,1,232.9605208,993.5668403
363,0,0,98.47734954
365,1,20.97936343,741.0900926
396,2,878.0021991,1117.199641
419,1,145.9764005,859.1440741
430,0,0,715.3055556
434,1,271.6907407,986.994213
446,1,5.526655093,800.1189583
481,4,424.1049537,666.4830671
484,4,393.061956,1139.6175
490,1,629.5739352,1088.19088
498,1,286.0062153,620.1077431
511,2,250.3759606,832.500625
534,2,755.0716435,1161.162222
545,5,320.7371065,786.2095023
558,0,0,1121.375475
559,0,0,338.0799421
561,0,0,829.4866551
562,1,11.96612269,1096.157581
563,0,0,365.5114468
573,2,250.0017014,1045.144086
600,0,0,483.0024884
632,0,0,1036.273819
640,0,0,723.4797801
645,0,0,513.5063426
654,8,703.4974884,991.5731829
660,0,0,302.5399769
681,1,854.0376273,1137.604931
696,1,4.927962963,1177.003067
726,0,0,36.98189815
738,1,742.0745718,825.2570833
753,1,471.6755787,800.1948958
756,0,0,746.3582292
764,0,0,847.2234606
780,0,0,608.9940278
829,0,0,1187.33287
865,1,196.5293403,684.0603704
892,1,154.0696412,983.3323264
906,0,0,1194.307535
909,3,1029.458495,1189.441655
912,0,0,1189.52625
937,1,540.1672917,1130.393935
947,0,0,588.2101273
957,3,508.2958912,826.6322569
969,2,110.5125694,1193.589109
973,0,0,999.3223727
977,4,218.4469329,1153.385833
1011,0,0,796.5134838
1029,1,506.9821644,761.1741782
1038,3,452.5691319,537.1457639
1074,3,246.7281713,821.048125
1104,0,0,853.1272106
1107,7,525.1855903,947.5662037
1127,12,1101.711435,1167.312315
1132,1,149.0780208,860.242419
1164,4,385.3214352,947.5122338
1184,0,0,843.4086111
1210,4,596.9391898,743.2829861
1215,0,0,363.3579745
1233,0,0,737.3598032
1268,0,0,605.453287
1278,2,335.5839699,764.0157176
1324,0,0,953.393831
1325,3,682.1077546,770.526956
1326,3,596.7816667,841.2164815
1330,18,402.028588,1193.430521
1341,13,1042.173437,1148.631748
1346,0,0,854.6268519
1364,3,846.6440972,1091.172095
1372,2,349.2267708,775.3801505
1373,2,705.7391435,988.2356944
1384,0,0,883.6894097
1395,0,0,25.08018519
1404,0,0,381.654456
1439,1,7.023136574,437.1060532
1447,0,0,712.0004398
1453,3,544.1007755,994.4302546
1478,1,604.957338,1178.425752
1493,0,0,1104.049039
1507,0,0,743.5981481
1592,0,0,379.3404051
1622,0,0,269.4369213
1639,0,0,700.9974074
1640,0,0,1103.197616
